Feature,Importance
orbital_period_min,0.25289564824986505
mean_motion,0.2023561251728071
altitude_km,0.19354691490100526
semi_major_axis_km,0.14564924489727737
drag_score,0.09784302880588264
eccentricity,0.07233157771491755
inclination_deg,0.03220697503111566
raan_deg,0.0031704852271294327
